"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-May-2025","EQ","3,504.70","3,532.50","3,486.50","3,497.70","3,494.00","3,498.10","3,500.24","4,592.25","3,056.05","31,88,072","11,15,90,21,439.90","1,46,463"
"28-May-2025","EQ","3,520.00","3,529.00","3,493.00","3,498.70","3,500.10","3,497.70","3,501.32","4,592.25","3,056.05","12,22,933","4,28,18,80,586.60","80,594"
"27-May-2025","EQ","3,532.00","3,540.00","3,483.10","3,537.30","3,501.00","3,498.70","3,500.34","4,592.25","3,056.05","24,67,680","8,63,77,18,829.70","1,65,908"
"26-May-2025","EQ","3,521.00","3,545.00","3,510.10","3,514.60","3,538.00","3,537.30","3,536.37","4,592.25","3,056.05","9,67,470","3,42,13,30,419.50","67,043"
"23-May-2025","EQ","3,477.00","3,535.00","3,465.60","3,477.00","3,508.00","3,514.60","3,511.99","4,592.25","3,056.05","12,74,331","4,47,54,40,377.40","71,383"
"22-May-2025","EQ","3,495.00","3,497.80","3,451.30","3,525.80","3,483.40","3,477.00","3,473.54","4,592.25","3,056.05","20,34,383","7,06,65,03,817.80","1,38,574"
"21-May-2025","EQ","3,508.00","3,537.00","3,498.30","3,498.30","3,521.10","3,525.80","3,523.98","4,592.25","3,056.05","14,40,153","5,07,50,75,089.30","72,782"
"20-May-2025","EQ","3,531.80","3,558.00","3,494.00","3,518.80","3,503.00","3,498.30","3,515.81","4,592.25","3,056.05","20,38,374","7,16,65,41,410.90","1,38,343"
"19-May-2025","EQ","3,550.00","3,550.00","3,503.70","3,561.30","3,518.00","3,518.80","3,522.37","4,592.25","3,056.05","25,37,377","8,93,75,85,448.80","1,29,050"
"16-May-2025","EQ","3,593.90","3,593.90","3,546.10","3,579.90","3,561.30","3,561.30","3,559.81","4,592.25","3,056.05","16,66,727","5,93,32,24,873.80","1,17,749"
"15-May-2025","EQ","3,564.00","3,600.00","3,514.10","3,548.70","3,576.50","3,579.90","3,565.55","4,592.25","3,056.05","35,48,330","12,65,17,35,793.00","1,72,937"
"14-May-2025","EQ","3,521.00","3,561.00","3,508.60","3,515.00","3,547.00","3,548.70","3,543.04","4,592.25","3,056.05","21,19,499","7,50,94,59,955.30","1,36,543"
"13-May-2025","EQ","3,620.40","3,623.00","3,510.50","3,620.40","3,518.00","3,515.00","3,541.51","4,592.25","3,056.05","30,62,887","10,84,72,50,162.20","2,21,289"
"12-May-2025","EQ","3,505.00","3,630.50","3,502.20","3,440.30","3,626.50","3,620.40","3,577.93","4,592.25","3,056.05","22,28,678","7,97,40,51,782.10","1,46,104"
"09-May-2025","EQ","3,399.00","3,446.20","3,398.10","3,448.90","3,439.90","3,440.30","3,428.44","4,592.25","3,056.05","25,31,757","8,67,99,86,664.60","1,51,453"
"08-May-2025","EQ","3,448.00","3,477.00","3,428.70","3,445.10","3,434.20","3,448.90","3,451.58","4,592.25","3,056.05","25,43,591","8,77,94,05,820.40","1,16,139"
"07-May-2025","EQ","3,420.60","3,459.50","3,420.60","3,460.00","3,448.00","3,445.10","3,442.07","4,592.25","3,056.05","14,77,128","5,08,43,83,270.50","89,334"
"06-May-2025","EQ","3,460.00","3,473.00","3,437.00","3,454.30","3,451.60","3,460.00","3,458.05","4,592.25","3,056.05","13,24,763","4,58,11,01,196.30","65,526"
"05-May-2025","EQ","3,450.00","3,504.50","3,446.40","3,444.70","3,454.60","3,454.30","3,466.59","4,592.25","3,056.05","12,84,443","4,45,26,37,028.70","96,657"
"02-May-2025","EQ","3,472.00","3,491.50","3,420.00","3,453.70","3,438.00","3,444.70","3,450.76","4,592.25","3,056.05","21,15,624","7,30,05,05,304.30","1,24,212"
"30-Apr-2025","EQ","3,472.00","3,509.90","3,366.00","3,472.50","3,431.80","3,453.70","3,464.02","4,592.25","3,056.05","28,09,332","9,73,15,86,389.30","1,29,048"
